,city,temp_max,clouds,lat,wind_speed,humidity
0,Benguela,298.573,92,-12.58,0.11,100
1,Longyearbyen,272.15,40,78.22,10.3,63
2,Rikitea,300.848,0,-23.12,4.26,98
3,Pevek,245.698,32,69.7,3.21,77
4,College,250.95,20,64.86,3.56,68
5,Vila Velha,301.15,75,-3.71,4.6,83
6,Punta Arenas,281.15,75,-53.16,8.2,65
7,Bluff,306.998,24,-23.58,6.11,37
8,Busselton,298.723,0,-33.64,1.76,74
9,Torbay,267.15,40,47.66,12.3,57
10,Udachnyy,228.698,12,66.42,1.06,0
11,Gazanjyk,276.198,88,39.24,1.21,98
12,Touros,300.15,75,-5.2,3.1,83
13,Lebu,284.15,0,8.96,1.5,43
14,Ponta do Sol,292.973,80,-20.63,1.41,89
15,New Norfolk,291.15,40,-42.78,4.6,36
16,Chuy,295.348,92,-33.69,4.36,95
17,Lumphat,298.998,0,13.5,1.76,51
18,Taltal,290.698,48,-25.41,0.71,89
19,Kulu,294.573,64,3.47,0.96,96
20,Mar del Plata,288.723,8,-46.43,5.81,43
21,Lavrentiya,259.898,0,65.58,6.16,75
22,Kon Tum,296.223,0,14.36,2.06,48
23,Humberto de Campos,300.248,56,-2.6,4.81,98
24,Warragul,295.873,0,-38.16,2.21,47
25,Dikson,245.823,0,73.51,2.76,78
26,Mahebourg,298.15,40,-20.41,4.56,88
27,Airai,299.898,44,-8.93,0.96,78
28,Hobart,291.15,40,-42.88,4.6,36
29,Klaksvik,274.15,48,62.23,9.3,80
30,Katobu,302.598,12,-4.94,1.96,89
31,Vostok,256.548,0,46.45,2.36,37
32,Opuwo,290.848,36,-18.06,0.66,95
33,Hermanus,292.223,12,-34.42,5.16,73
34,Kapaa,298.75,75,22.08,11.3,53
35,Mount Gambier,295.15,0,-37.83,6.2,35
36,Cabo San Lucas,296.15,40,22.89,5.1,77
37,Kargil,252.748,56,34.56,0.41,82
38,Kodiak,266.45,1,39.95,3.6,44
39,Ushuaia,281.15,40,-54.81,7.2,70
40,Codrington,307.15,40,-28.95,4.6,38
41,Qaanaaq,249.248,24,77.48,4.01,100
42,Barrow,296.098,0,-38.31,7.31,59
43,Fortuna,288.15,0,38.18,1.0,66
44,Sokolo,288.848,0,14.74,1.61,62
45,Port Hawkesbury,262.15,75,45.62,9.3,56
46,Burnie,288.973,44,-41.05,2.76,100
47,Cape Town,294.15,0,-33.93,4.1,64
48,Vaini,290.15,0,15.34,1.5,59
49,Port Alfred,293.798,92,-33.59,5.46,99
50,Lompoc,286.45,1,34.64,3.1,93
51,Tasiilaq,263.15,0,65.61,3.6,56
52,Castro,284.15,24,-42.48,5.1,81
53,Ixtapa,298.15,75,20.71,3.1,73
54,Yellowknife,245.15,5,62.45,4.6,68
55,East London,294.073,92,-33.02,3.46,100
56,Georgetown,298.15,75,6.8,3.1,88
57,Jinchang,257.598,0,38.52,1.06,42
58,Severo-Kurilsk,272.748,80,50.68,7.81,100
59,Saint-Augustin,282.15,75,44.83,3.6,93
60,Saskylakh,243.448,32,71.97,1.46,63
61,Luderitz,287.398,32,-26.65,6.46,93
62,Mataura,289.373,0,-46.19,9.31,57
63,Altamira,297.298,64,-3.2,1.51,95
64,Natal,301.15,40,-5.81,5.1,74
65,Manaure,298.548,0,11.78,9.61,95
66,Allende,283.248,48,28.34,2.11,92
67,Pisco,298.15,75,-13.71,3.1,88
68,Beipiao,272.873,0,41.8,3.56,18
69,Deputatskiy,228.098,0,69.3,1.51,0
70,Bethel,263.75,1,60.79,3.6,83
71,Ocampo,297.998,92,13.56,5.86,90
72,San Patricio,300.448,36,-26.98,1.81,73
73,Shelburne,255.15,1,44.08,5.7,84
74,Nioki,295.973,76,-2.72,0.96,96
75,Avarua,303.15,40,-21.21,3.1,74
76,Victoria,301.15,75,5.28,1.5,83
77,Muisne,297.248,92,0.61,1.61,83
78,Ribeira Grande,288.248,44,38.52,4.76,100
79,Kaniama,292.198,76,-7.57,0.81,100
80,Coromandel,299.15,0,-36.76,7.2,54
81,Genhe,256.348,56,50.78,1.96,71
82,Hilo,298.15,20,19.71,3.6,64
83,Polonnaruwa,296.298,32,7.94,1.21,95
84,Gamba,256.998,20,28.28,1.86,78
85,Vila Franca do Campo,286.15,20,37.72,1.5,76
86,Havoysund,264.15,0,71.0,12.3,72
87,Port Blair,301.448,20,11.67,6.41,98
88,Noumea,302.15,76,-22.28,7.7,66
89,Carnarvon,289.998,64,-30.97,7.36,82
90,Port Shepstone,295.598,92,-30.74,6.26,96
91,Ardakan,278.15,0,32.31,1.0,30
92,Bredasdorp,294.15,68,-34.53,7.7,77
93,Beisfjord,266.15,12,68.38,8.7,67
94,Padang,302.15,20,-0.92,1.0,74
95,Aleksandrov Gay,262.698,88,50.14,3.01,90
96,Bend,283.75,1,44.06,5.1,46
97,Lamu,301.348,68,0.57,0.86,83
98,Saint-Philippe,259.65,90,45.36,7.7,77
99,Payo,299.573,56,-3.75,2.56,94
100,Mazagao,299.15,20,-0.12,3.6,100
101,Puerto Ayora,299.148,44,-0.74,1.16,100
102,Mount Isa,298.15,75,-20.73,3.6,100
103,Jamestown,298.148,0,-33.21,4.91,39
104,Bolu,275.198,76,40.73,3.11,83
105,Chicama,299.15,90,-7.84,3.1,74
106,Pitkyaranta,264.323,64,61.57,1.76,89
107,Coquimbo,290.15,20,-29.95,1.0,88
108,Haines Junction,251.398,8,60.75,0.96,54
109,Ozernovskiy,270.648,92,51.5,3.31,96
110,Broken Hill,300.15,0,-31.97,8.2,22
